ID,Old ID1,Old ID,Country,Province,District
IN0349,5769,5769,Andhra Pradesh,Kurnool,Pagidyala
IN0350,5774,5774,Andhra Pradesh,Kurnool,Pamulapadu
IN0351,5788,5788,Andhra Pradesh,Kurnool,Panyam
IN0352,5798,5798,Andhra Pradesh,Kurnool,Pattikonda
IN0353,5802,5802,Andhra Pradesh,Kurnool,Peapally
IN0354,5761,5761,Andhra Pradesh,Kurnool,Pedda Kadubur
IN0355,5805,5805,Andhra Pradesh,Kurnool,Rudravaram
IN0356,5808,5808,Andhra Pradesh,Kurnool,Sanjamala
IN0357,5794,5794,Andhra Pradesh,Kurnool,Sirvel
IN0358,5772,5772,Andhra Pradesh,Kurnool,Srisailam
IN0359,5801,5801,Andhra Pradesh,Kurnool,Tuggali
IN0360,5810,5810,Andhra Pradesh,Kurnool,Uyyalawada
IN0361,5786,5786,Andhra Pradesh,Kurnool,Veldurthi
IN0362,5790,5790,Andhra Pradesh,Kurnool,Velgode
IN0363,5762,5762,Andhra Pradesh,Kurnool,Yemmiganur
IN0364,5620,5620,Andhra Pradesh,Prakasam,Addanki
IN0365,5624,5624,Andhra Pradesh,Prakasam,Ardhaveedu
IN0366,5613,5613,Andhra Pradesh,Prakasam,Ballikurava
IN0367,5639,5639,Andhra Pradesh,Prakasam,Bestawaripeta
IN0368,5653,5653,Andhra Pradesh,Prakasam,Chandra Sekhara Puram
IN0369,5636,5636,Andhra Pradesh,Prakasam,Chimakurthi
IN0370,5633,5633,Andhra Pradesh,Prakasam,Chinaganjam
IN0371,5631,5631,Andhra Pradesh,Prakasam,Chirala
IN0372,5625,5625,Andhra Pradesh,Prakasam,Cumbum
IN0373,5622,5622,Andhra Pradesh,Prakasam,Darsi
IN0374,5610,5610,Andhra Pradesh,Prakasam,Donakonda
IN0375,5608,5608,Andhra Pradesh,Prakasam,Dornala
IN0376,5641,5641,Andhra Pradesh,Prakasam,Giddalur
IN0377,5659,5659,Andhra Pradesh,Prakasam,Gudluru
IN0378,5638,5638,Andhra Pradesh,Prakasam,Hanumanthuni Padu
IN0379,5618,5618,Andhra Pradesh,Prakasam,Inkollu
IN0380,5619,5619,Andhra Pradesh,Prakasam,Janakavarampanguluru
IN0381,5656,5656,Andhra Pradesh,Prakasam,Kandukur
IN0382,5644,5644,Andhra Pradesh,Prakasam,Kanigiri
IN0383,5617,5617,Andhra Pradesh,Prakasam,Karamchedu
IN0384,5642,5642,Andhra Pradesh,Prakasam,Komarolu
IN0385,5627,5627,Andhra Pradesh,Prakasam,Konakanamitla
IN0386,5645,5645,Andhra Pradesh,Prakasam,Kondapi
IN0387,5630,5630,Andhra Pradesh,Prakasam,Korisapadu
IN0388,5648,5648,Andhra Pradesh,Prakasam,Kotha Patnam
IN0389,5611,5611,Andhra Pradesh,Prakasam,Kurichedu
IN0390,5658,5658,Andhra Pradesh,Prakasam,Lingasamudram
IN0391,5635,5635,Andhra Pradesh,Prakasam,Maddipadu
IN0392,5623,5623,Andhra Pradesh,Prakasam,Markapur
IN0393,5637,5637,Andhra Pradesh,Prakasam,Marripudi
IN0394,5614,5614,Andhra Pradesh,Prakasam,Martur
IN0395,5621,5621,Andhra Pradesh,Prakasam,Mundlamuru
IN0396,5634,5634,Andhra Pradesh,Prakasam,Naguluppala Padu
IN0397,5647,5647,Andhra Pradesh,Prakasam,Ongole
IN0398,5654,5654,Andhra Pradesh,Prakasam,Pamur
IN0399,5616,5616,Andhra Pradesh,Prakasam,Parchur
IN0400,5609,5609,Andhra Pradesh,Prakasam,Peda Araveedu
IN0401,5652,5652,Andhra Pradesh,Prakasam,Pedacherlo Palle
IN0402,5628,5628,Andhra Pradesh,Prakasam,Podili
IN0403,5651,5651,Andhra Pradesh,Prakasam,Ponnaluru
IN0404,5606,5606,Andhra Pradesh,Prakasam,Pullalacheruvu
IN0405,5640,5640,Andhra Pradesh,Prakasam,Racherla
IN0406,5612,5612,Andhra Pradesh,Prakasam,Santhamaguluru
