Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Density,Area,Population,ethnicity,Sunni Arabs,Salafi Arabs,Shia Arabs,Alawites,Ibadi Arabs,South Arabians,Druze,Orthodox Arabs,Catholic Arabs,Protestant Arabs,Maronites,Copts,Kurds,Zazas,Turks,North Caucasian,Circassians,Chechens,Georgians,Lazi,Armenians,Assyrians,Jews,Other Arabs,No religion classification,Others,Foreigners,Others Foreigners,Yazidis,Mandaeans,Ajams/ Iranians,Kyrgyz,Kazakhs,Dagestani,Azeris,Syrians,Afghans,Indians,Pakistanis,Bangladeshis,Sri Lankans,Nepalis,Fillipinos,Southeast Asians,East Asians,Africans,Europeans,Americas/ Pacific,Egypt,Tanzania,Sudan,Bosnians,Albanians,Pomaks,Roma,Greeks,Ossetians,Balochis,Zadjali,Zanzibaris,Al-Luwatiyyah,Kumzaris,Banyans,religion,Largest Religion,Share of Population,Islam
,IQ53,Iraq,Duhok,Al-Amadiya,Kurds,0.955001213,Kurds,Assyrians,.,.,.,.,.,.,.,.,,2861,123670,,0,0,0,0,,,0,0,0,0,0,0,118105,,0,,0,0,,,0,5565,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ54,Iraq,Duhok,Duhok,Kurds,0.950000618,Kurds,Yazidis,Assyrians,Armenians,.,.,.,.,.,.,,1037,404645,,0,0,0,0,,,0,0,0,0,0,0,384413,,0,,0,0,,,809,7283,0,,0,0,,,12140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ55,Iraq,Duhok,Sumail,Kurds,0.8,Kurds,Assyrians,Sunni Arabs,Armenians,.,.,.,.,.,.,,1353,199750,,9988,0,0,0,,,0,0,0,0,0,0,159800,,0,,0,0,,,2996,26966,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ56,Iraq,Duhok,Zakho,Kurds,0.935000135,Kurds,Assyrians,Circassians,Armenians,.,.,.,.,.,.,,1398,297216,,0,0,0,0,,,0,0,0,0,0,0,277897,,0,,8917,0,,,1040,9362,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ57,Iraq,Erbil,Al-Zibar,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,918,28738,,0,0,0,0,,,0,0,0,0,0,0,28738,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ58,Iraq,Erbil,Erbil,Kurds,0.719999942,Kurds,Turks,Assyrians,Sunni Arabs,.,.,.,.,.,.,,2730,1383589,,27672,0,0,0,,,0,0,0,0,0,0,996184,,276717,,0,0,,,0,83016,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ59,Iraq,Erbil,Koysinjaq,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,2043,122130,,0,0,0,0,,,0,0,0,0,0,0,122130,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ60,Iraq,Erbil,Makhmour,Kurds,0.919999647,Kurds,Sunni Arabs,.,.,.,.,.,.,.,.,,2604,226399,,18112,0,0,0,,,0,0,0,0,0,0,208287,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ61,Iraq,Erbil,Rawanduz,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,4389,290708,,0,0,0,0,,,0,0,0,0,0,0,290708,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ62,Iraq,Erbil,Shaqlawa,Kurds,1,Kurds,.,.,.,.,.,.,.,.,.,,1784,175550,,0,0,0,0,,,0,0,0,0,0,0,175550,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
